source_file,row_idx,dt_time,target_id,anomaly_family,anomaly_type,change_summary
DT snapshot_24hr_withOUT Trascription_with_Operation_10-01-2025.csv,1858,152900Z,None,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,1529,124430Z,EJA671,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,2350,193500Z,PDT5977,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,1584,131200Z,N107US,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,2030,165500Z,AAL2846,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,1879,153930Z,AAL2846,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_10-01-2025.csv,219,014930Z,FDX1248,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_02-01-2026.xlsx,2579,212930Z,EJA528,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_02-01-2026.xlsx,2292,190600Z,None,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,1900,155000Z,ENY3425,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,2863,235130Z,DAL2314,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,1591,131530Z,N865SH,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,1738,142900Z,ENY4144,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_02-01-2026.xlsx,1717,141830Z,N237MP,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_01-01-2026.csv,1832,151600Z,LBQ870,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_02-01-2026.xlsx,1936,160800Z,FDX605,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_01-01-2026.csv,1692,140600Z,SKW5507,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,2073,171630Z,PDT6052,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,2296,190800Z,ENY3766,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_10-01-2025.csv,2290,190500Z,None,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_10-01-2025.csv,2104,173200Z,None,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,2771,230530Z,EDV5107,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,322,024100Z,MTN7538,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,1710,141500Z,DAL1847,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,32,001600Z,PDT5846,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,2275,185730Z,RKJ917,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,1935,160730Z,N253RL,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_02-01-2026.xlsx,2501,205030Z,RPA4507,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,1514,123700Z,ENY3413,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,1908,155400Z,N801WW,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,1748,143400Z,AAL2846,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,1374,112700Z,ENY3965,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,1338,110900Z,SKW4468,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_10-01-2025.csv,2359,193930Z,ASA9410,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,2702,223100Z,RPA4689,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_10-01-2025.csv,204,014200Z,DAL1617,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,1697,140830Z,AAL2846,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,2700,223000Z,None,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,1457,120830Z,ENY3640,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,2363,194130Z,N107US,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,2075,171730Z,GJS4606,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,2282,190100Z,RKJ917,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,1656,134800Z,AAL2846,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,1616,132800Z,AAL2846,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_10-01-2025.csv,2286,190300Z,None,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_10-01-2025.csv,790,063500Z,FDX1042,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,2029,165430Z,ENY3707,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_10-01-2025.csv,1536,124800Z,SKW5507,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,147,011330Z,ENY3648,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_02-01-2026.xlsx,2744,225200Z,DAL2539,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,1767,144330Z,RPA5788,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,2698,222900Z,RPA4689,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_11-01-2025.csv,399,031930Z,CSB421,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_01-01-2026.csv,369,030430Z,SKW5396,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,1231,101530Z,EDV5088,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_01-01-2026.csv,1807,150330Z,UCA4972,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,248,020400Z,DAL1604,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,108,005400Z,SKW5396,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,2651,220530Z,N318GL,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,2503,205130Z,None,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,584,045200Z,DAL3005,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,1322,110100Z,ENY3640,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,1057,084830Z,N649AW,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_10-01-2025.csv,1356,111800Z,ENY3640,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,2338,192900Z,DAL3060,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,653,052630Z,CSB821,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,2293,190630Z,EDV4986,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,1627,133330Z,AAL2846,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,1298,104900Z,JIA5107,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_11-01-2025.csv,72,003600Z,RPA5769,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_10-01-2025.csv,128,010400Z,JIA5111,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,2567,212330Z,None,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_01-01-2026.csv,1755,143730Z,PDT5785,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_02-01-2026.xlsx,2598,213900Z,EJA528,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_10-01-2025.csv,783,063130Z,None,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_02-01-2026.xlsx,2844,234200Z,RPA5617,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_01-01-2026.csv,1406,114300Z,SKW4722,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_02-01-2026.xlsx,2450,202500Z,RPA4507,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,2174,180700Z,N404HG,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,1124,092200Z,AAL1078,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,240,020000Z,ENY4054,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,1726,142300Z,AAL2846,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,1369,112430Z,ENY3965,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_10-01-2025.csv,793,063630Z,FDX1042,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,2340,193000Z,RKJ917,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,433,033630Z,UCA4849,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,2658,220900Z,AAL2762,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,1374,112700Z,EJA671,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,652,052600Z,None,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,1692,140600Z,GJS4517,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_10-01-2025.csv,2261,185030Z,None,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_11-01-2025.csv,88,004400Z,GJS4578,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_10-01-2025.csv,2103,173130Z,None,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,2514,205700Z,RKJ917,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,261,021030Z,DAL1604,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,2221,183030Z,HON22,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,336,024800Z,SKW5503,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,2493,204630Z,AAL3133,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,2590,213500Z,AAL2762,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,1300,105000Z,JIA5107,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_01-01-2026.csv,1808,150400Z,UCA4972,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_02-01-2026.xlsx,1482,122100Z,DAL3018,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,2774,230700Z,EDV5107,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,2343,193130Z,MXY856,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_02-01-2026.xlsx,1928,160400Z,FDX851,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,2602,214100Z,UPS5274,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_10-01-2025.csv,1508,123400Z,None,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,2867,235330Z,DAL2314,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,1142,093100Z,AAL1078,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_01-01-2026.csv,275,021730Z,FDX1248,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,96,004800Z,AAL2242,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,253,020630Z,DAL1604,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,981,081030Z,None,Speed / Movement,Groundspeed spike,Groundspeed spike
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,12,000600Z,UCA4284,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_01-01-2026.csv,1879,153930Z,EDV5125,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_01-01-2026.csv,1438,115900Z,JBU583,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_02-01-2026.xlsx,1582,131100Z,EJA616,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_02-01-2026.xlsx,2241,184030Z,UAL2402,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,196,013800Z,N377MM,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,2643,220130Z,EJA472,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,2861,235030Z,SKW3928,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,1489,122430Z,DAL1100,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,528,042400Z,ENY3754,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,2016,164800Z,PDT5851,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_10-01-2025.csv,276,021800Z,ENY3754,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,54,002700Z,UAL545,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_11-01-2025.csv,510,041500Z,MXY859,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,1719,141930Z,PDT5788,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,116,005800Z,DAL525,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,613,050630Z,UAL278,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,380,031000Z,N8272V,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_10-01-2025.csv,197,013830Z,N724LU,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,1930,160500Z,JBU2273,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,1825,151230Z,N7321G,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_11-01-2025.csv,169,012430Z,AAY966,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,2157,175830Z,UAL1618,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_10-01-2025.csv,14,000700Z,N1572X,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,1183,095130Z,N264MB,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,1465,121230Z,AAY1805,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,2028,165400Z,N809CR,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,1504,123200Z,SWA1010,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_02-01-2026.xlsx,580,045000Z,DAL1175,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,2334,192700Z,ASA9451,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,669,053430Z,N220BL,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,51,002530Z,N725MS,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,6,000300Z,UCA4284,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,1433,115630Z,DAL3004,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_01-01-2026.csv,534,042700Z,ENY3754,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,2772,230600Z,PDT5846,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_01-01-2026.csv,1600,132000Z,DAL2153,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,139,010930Z,UAL3890,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_11-01-2025.csv,255,020730Z,AAY2927,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,1330,110500Z,JBU1911,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,894,072700Z,N171AR,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_10-01-2025.csv,1937,160830Z,ADS121,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_01-01-2026.csv,1792,145600Z,EDV5125,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_11-01-2025.csv,64,003200Z,UAL2634,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,1395,113730Z,EJA671,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,2131,174530Z,SAM252,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,2079,171930Z,N65HF,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,1784,145200Z,N79PC,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,2844,234200Z,PDT5902,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,2518,205900Z,EJA472,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,981,081030Z,ENY3838,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_10-01-2025.csv,2161,180030Z,N7643G,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,2700,223000Z,UCA4364,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_01-01-2026.csv,256,020800Z,DAL1714,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_10-01-2025.csv,1659,134930Z,DAL1808,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,2667,221330Z,N91W,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,566,044300Z,AAL2738,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_01-01-2026.csv,1722,142100Z,DAL849,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_01-01-2026.csv,1569,130430Z,N512WF,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,376,030800Z,UAL520,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_10-01-2025.csv,1838,151900Z,DAL371,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,554,043700Z,N171PS,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,2154,175700Z,N118MC,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,2704,223200Z,AAL2762,Transponder / Emergency,Emergency squawk 7700,Emergency squawk 7700
